"rsID"	"h2"	"pos"	"gene"	"updist"	"downdist"	"context"	"raf"
"rs17780086"	0.000222222448738938	32016263	"RNA5SP437 - LRRC37B"	52.33	4.87	"Intergenic"	"0.15"
"rs4665736"	0.000479615400685234	24964730	"DNAJC27"	-999	-999	"intron"	"0.54"
"rs720390"	0.000430270368669169	185830895	"MIR548AQ - TRA2B"	62.99	83.67	"Intergenic"	"0.39"
"rs4470914"	0.000273245861371073	19576899	"FERD3L - TWISTNB"	431.48	118.56	"Intergenic"	"0.18"
"rs7849585"	0.000416796914166974	136220024	"QSOX2"	-999	-999	"intron"	"0.33"
"rs8052560"	0.000222222448738938	88710834	"CTU2"	-999	-999	"intron"	"0.79"
"rs17081935"	0.000318735378525249	56957310	"REST - NOA1"	21.47	6.04	"Intergenic"	"0.2"
"rs526896"	0.00039642503575758	135021015	"CATSPER3 - PITX1"	9.31	6.72	"Intergenic"	"0.73"
"rs9969804"	0.000511578869490624	92666838	"IPPK"	-999	-999	"intron"	"0.44"
"rs2778031"	0.000374341203558003	88220811	"SPATA31C2 - RPSAP49"	82.34	103.57	"Intergenic"	"0.24"
"rs7027110"	0.00039642503575758	106836765	"MIR8081 - ZNF462"	235.74	23.39	"Intergenic"	"0.23"
"rs4821083"	0.000289279968430563	32660355	"SYN3"	-999	-999	""	"0.84"
"rs10799445"	0.00039642503575758	227724182	"VN1R15P - JMJD4"	64.45	7.01	"Intergenic"	"0.77"
"rs10037512"	0.000565993491623959	89058858	"MEF2C-AS1 - MIR3660"	26.48	957.76	"Intergenic"	"0.56"
"rs2638953"	0.000513547440050514	28381482	"CCDC91"	-999	-999	"intron"	"0.68"
"rs17318596"	0.000484571961614187	41431190	"ATP5SL"	-999	-999	"intron"	"0.36"
"rs572169"	0.000560009442894208	172447937	"GHSR"	-999	-999	"cds-synon"	"0.31"
"rs10770705"	0.000545536862329711	20704533	"SLCO1C1"	-999	-999	"intron"	"0.33"
"rs1351164"	0.000430270368669169	217407175	"DIRC3"	-999	-999	"intron"	"0.79"
"rs1173727"	0.00066803697474938	32830415	"NPR3 - RPS8P8"	38.69	331.74	"Intergenic"	"0.4"
"rs1490384"	0.000657790327543298	126530014	"MIR588 - VIMP1"	45.3	72.34	"Intergenic"	"0.5"
"rs1950500"	0.000565993491623959	24361644	"RIPK3 - NFATC4"	21.61	5.27	"Intergenic"	"0.29"
"rs26868"	0.00050984254423242	2199375	"CASKIN1 - MLST8"	2.9	5.8	"Intergenic"	"0.46"
"rs17806888"	0.000261604888003983	67365898	"SUCLG2"	-999	-999	"intron"	"0.88"
"rs7507204"	0.000487859445396879	3428836	"NFIC"	-999	-999	"intron"	"0.24"
"rs7567851"	0.000222222448738938	177819993	"PDE11A"	-999	-999	"intron"	"0.08"
"rs10748128"	0.000634004116087976	69433878	"RPS26P45 - FRS2"	10.88	36.47	"Intergenic"	"0.35"
"rs634552"	0.000386245235711738	75571007	"SERPINH1"	-999	-999	"intron"	"0.14"
"rs2256183"	0.000920206490318013	31412752	"MICA"	-999	-999	"intron"	"0.45"
"rs1708299"	0.000788045459192525	28150327	"JAZF1"	-999	-999	"intron"	"0.3"
"rs12470505"	0.000340576536516253	219043647	"CCDC108 - IHH"	2.1	10.77	"Intergenic"	"0.9"
"rs10152591"	0.000289279968430563	69755818	"RPLP1 - GEMIN8P1"	300.27	47.3	"Intergenic"	"0.91"
"rs237743"	0.000644247265070972	49286482	"ZFAS1"	-999	-999	"intron"	"0.21"
"rs17391694"	0.000328881181341098	78157942	"RNA5SP22 - RNFT1P2"	63.03	12.53	"Intergenic"	"0.12"
"rs2237886"	0.00039642503575758	2789501	"KCNQ1"	-999	-999	"intron"	"0.11"
"rs4800452"	0.000964606047401731	23147647	"CABLES1"	-999	-999	"intron"	"0.79"
"rs806794"	0.00129256283627694	26200449	"HIST1H2AD;HIST1H2BF;HIST1H3D"	-999	-999	"nearGene-5;nearGene-3;nearGene-5"	"0.7"
"rs42235"	0.00153513727527889	92618762	"CDK6"	-999	-999	"intron"	"0.31"
"rs2871865"	0.000662042894474035	98651667	"IGF1R"	-999	-999	"intron"	"0.88"
"rs7460090"	0.000851978610055648	56281604	"CHCHD7 - SDR16C5"	62.99	18.41	"Intergenic"	"0.87"
"rs1351394"	0.00217115733503736	65958046	"HMGA2"	-999	-999	"intron"	"0.49"
"rs473902"	0.000532020538003726	95493953	"PTCH1"	-999	-999	"intron"	"0.92"
"rs1257763"	0.000271709213665396	94131663	"CYCSP24 - MIRLET7A1"	93.32	44.29	"Intergenic"	"0.04"
"rs6449353"	0.00150293416454539	18031865	"KRT18P63 - RPL21P46"	118.82	1781.87	"Intergenic"	"0.85"
"rs2280470"	0.000440466776916127	88852395	"ACAN"	-999	-999	"intron"	"NR"
"rs10859563"	0.000356679369434815	93726563	"CRADD;LOC101928731"	-999	-999	"intron;intron"	"NR"
"rs750460"	0.000352461404843003	73949165	"LOXL1"	-999	-999	"intron"	"NR"
"rs6938239"	0.000346518048491819	34715858	"TRNAI25"	-999	-999	""	"NR"
"rs7652177"	0.000310548705360007	172251287	"FNDC3B"	-999	-999	"missense"	"NR"
"rs7916441"	0.00027916122924399	79165820	"ZMIZ1"	-999	-999	"intron"	"NR"
"rs3792752"	0.000276911978797937	32768528	"NPR3"	-999	-999	"intron"	"NR"
"rs2353398"	0.000261604888003983	144601606	"KRT18P51 - HHIP-AS1"	28.61	41.31	"Intergenic"	"NR"
"rs2724475"	0.000261604888003983	17944809	"LCORL"	-999	-999	"intron"	"NR"
"rs2070776"	0.000239711532242899	63930138	"CD79B"	-999	-999	"cds-synon"	"NR"
"rs1401796"	0.000228108413510866	56762398	"NOG - C17orf67"	166.81	29.52	"Intergenic"	"NR"
"rs4711336"	0.000222222448738938	33691269	"ITPR3"	-999	-999	"intron"	"NR"
"rs6892884"	0.000218048819786697	171588619	"FGF18 - SMIM23"	130.99	197.2	"Intergenic"	"NR"
"rs1367226"	0.000218048819786697	55862405	"PNPT1 - EFEMP1"	168.5	3.56	"Intergenic"	"NR"
"rs2421992"	0.000214813000365953	172272111	"DNM3"	-999	-999	"intron"	"NR"
"rs225694"	0.000204770392054521	142206005	"VTA1"	-999	-999	"intron"	"NR"
"rs10187066"	0.000194741957251979	218650036	"ZNF142"	-999	-999	"intron"	"NR"
"rs879882"	0.000194741957251979	31171675	"POU5F1"	-999	-999	"nearGene-5"	"NR"
"rs17818399"	0.0138868215046298	46598887	"PIGF"	-999	-999	"intron"	"0.17"
"rs17638464"	0.011900750388944	161681057	"FSTL5"	-999	-999	"intron"	"0.83"
"rs11888559"	0.011900750388944	203300448	"CYP20A1"	-999	-999	"UTR-3"	"0.15"
"rs6670655"	0.0114766610279112	164769934	"PBX1;LOC100505795"	-999	-999	"intron;ncRNA"	"0.18"
"rs2660869"	0.0114766610279112	96085489	"TRNAD12 - ELK3"	49.4	108.91	"Intergenic"	"0.02"
"rs2277912"	0.0109426737658869	206769512	"FASTKD2"	-999	-999	"intron"	"0.15"
"rs2691543"	0.0109426737658869	78335471	"MAGI2"	-999	-999	"intron"	"0.97"
"rs2553026"	0.00138653217723668	217258925	"TNP1 - DIRC3"	398.87	25.1	"Intergenic"	"0.19"
"rs6435999"	0.00115468285073559	217658439	"DIRC3"	-999	-999	"intron"	"0.64"
"rs3791950"	0.00105601321760452	217865142	"TNS1"	-999	-999	"intron"	"0.89"
"rs2589113"	0.00149055727821125	55289187	"CCDC88A"	-999	-999	"UTR-3"	"0.48"
"rs4315565"	0.00155628056771974	69060811	"ANTXR1"	-999	-999	"intron"	"0.20"
"rs6773931"	0.00135932408347203	56701152	"FAM208A - ARHGEF3"	17.91	26.27	"Intergenic"	"0.80"
"rs724577"	0.00309546293671619	17991787	"LCORL"	-999	-999	"intron"	"0.31"
"rs994014"	0.00179626513460576	81244636	"PRKG2 - RASGEF1B"	29.52	181.76	"Intergenic"	"0.29"
"rs27855"	0.000991030165282727	128305169	"FBN2"	-999	-999	"intron"	"0.81"
"rs2937550"	0.000926195771846668	36473135	"RANBP3L - RNA5SP181"	171.23	12.21	"Intergenic"	"0.20"
"rs1361108"	0.000915194871134682	126446454	"CENPW"	-999	-999	"intron"	"0.30"
"rs853356"	0.00101798349757069	14173197	"CD83 - LINC01108"	36.28	106.93	"Intergenic"	"0.29"
"rs1150781"	0.00149055727821125	34246545	"HMGA1;C6orf1"	-999	-999	"intron;missense"	"0.42"
"rs9470004"	0.0022140257364233	35374073	"PPARD"	-999	-999	"intron"	"0.17"
"rs2224391"	0.00101798349757069	5260703	"FARS2;LYRM4"	-999	-999	"nearGene-5;missense"	"0.23"
"rs7007970"	0.000953085293310045	119635689	"ENPP2"	-999	-999	"intron"	"0.73"
"rs733254"	0.00105601321760452	134626389	"ZFAT"	-999	-999	"intron"	"0.27"
"rs6982250"	0.00112112892063271	69500215	"SULF1"	-999	-999	"intron"	"0.25"
"rs941873"	0.00120738775374844	79379706	"PPIF - ZCCHC24"	24.37	2.62	"Intergenic"	"0.41"
"rs12321906"	0.000970141083581142	53522931	"ATF7"	-999	-999	"intron"	"0.87"
"rs7979673"	0.00180897179222997	65833477	"HMGA2"	-999	-999	"intron"	"0.32"
"rs6563210"	0.00115468285073559	35902310	"DCLK1"	-999	-999	"intron"	"0.56"
"rs724743"	0.00133822962018157	75663248	"TTLL5"	-999	-999	"intron"	"0.94"
"rs2351491"	0.0017091205570036	88854874	"ACAN"	-999	-999	"cds-synon"	"0.25"
"rs420017"	0.000938673399336679	89073850	"LOC102724566"	-999	-999	"intron"	"0.21"
"rs11658329"	0.00642534600810653	63685671	"MAP3K3;LOC101927898"	-999	-999	"intron;intron"	"0.70"
"rs2854160"	0.00140378271796441	63899888	"CSH1 - CSHL1"	3.23	9.72	"Intergenic"	"0.21"
"rs1787200"	0.00651619397840303	49061284	"DYM"	-999	-999	"intron"	"0.37"
"rs2523178"	0.000926195771846668	2275080	"C19orf35"	-999	-999	"UTR-3"	"0.67"
"rs12393627"	0.007958648936607	2967682	"ARSE"	-999	-999	"intron"	"0.63"
"rs1383484"	0.00113103743544543	83854003	"ADAMTSL3"	-999	-999	"intron"	"0.40"
"rs1549519"	0.00401262788862833	55680426	"MMD - TMEM100"	258.43	39.2	"Intergenic"	"0.20"
"rs925098"	0.00691315961202834	17918188	"LCORL"	-999	-999	"intron"	"0.35"
"rs606452"	0.00427291403958003	75565133	"SERPINH1"	-999	-999	"intron"	"0.64"
"rs7968682"	0.00465465769728067	65978100	"HMGA2 - MIR6074"	11.81	45.52	"Intergenic"	"0.58"
"rs3889237"	0.00363185612273875	66783312	"PRKCA"	-999	-999	"intron"	"0.14"
"rs12612930"	0.00600302049263796	71298655	"ZNF638"	-999	-999	"intron"	"0.6"
"rs11021504"	0.00491453619129806	96262284	"MAML2"	-999	-999	"intron"	"0.51"
"rs3816804"	0.00520366886695888	56286961	"CS"	-999	-999	"intron"	"0.77"
"rs3751599"	0.00573240708507375	51281336	"CYP19A1"	-999	-999	"intron"	"0.93"
"rs11082671"	0.00464467035885763	48339226	"ZBTB7C"	-999	-999	"intron"	"0.79"
"rs17382723"	0.00384889452099878	241114131	"PASK"	-999	-999	"intron"	"0.96"
"rs11923600"	0.00288954027077315	176209663	"EI24P1 - MIR7977"	140.76	305.44	"Intergenic"	"0.71"
"rs16895057"	0.0031752807018253	29553100	"TRNAI25"	-999	-999	""	"0.95"
"rs10509091"	0.00297326041230301	58451030	"TFAM - BICC1"	51.8	61.99	"Intergenic"	"0.35"
"rs10773568"	0.0031752807018253	128701645	"TMEM132C"	-999	-999	"intron"	"0.42"
"rs154663"	0.00352707116871747	89659627	"CHMP1A;SPATA33"	-999	-999	"nearGene-5;intron"	"0.29"
